datetime,lobby,game,team,ign,playfabid,placement,kills,damage,date,date num,is_fun_match,playfabid2
2024/04/10 18:37:37,C963DF,1,F,Onickss,1BE398197ACAE00D,2,0,320,2024-04-10,45392,0,1BE398197ACAE00D
2024/04/10 18:37:37,C963DF,1,F,UnQuestionable,87FF41F7ADCDEDFB,2,1,768,2024-04-10,45392,0,87FF41F7ADCDEDFB
2024/04/10 18:37:37,C963DF,1,F,WWW_Nando_AK,D6D028A669631FFF,2,3,681,2024-04-10,45392,0,D6D028A669631FFF
2024/04/10 18:37:37,C963DF,1,F,TOTALS,,2,4,1769,2024-04-10,45392,0,
2024/04/10 18:37:37,C963DF,1,G,bobthecookie123,DBDBA18FAE3C771F,7,1,156,2024-04-10,45392,0,DBDBA18FAE3C771F
2024/04/10 18:37:37,C963DF,1,G,TOTALS,,7,1,156,2024-04-10,45392,0,
2024/04/10 18:40:08,AED685.00,1,A,Yeahboiiiiii,529AAA3C915D1165,1,3,981,2024-04-10,45392,0,529AAA3C915D1165
2024/04/10 18:40:08,AED685.00,1,A,APEX_BOBO,B864335427BF31DE,1,5,1348,2024-04-10,45392,0,B864335427BF31DE
2024/04/10 18:40:08,AED685.00,1,A,SAH1b,17C81FDBCCC905C6,1,9,2139,2024-04-10,45392,0,17C81FDBCCC905C6
2024/04/10 18:40:08,AED685.00,1,A,TOTALS,,1,17,4468,2024-04-10,45392,0,
2024/04/10 18:40:08,AED685.00,1,B,GO_STOOOBE,121559C6C39206B5,7,1,608,2024-04-10,45392,0,121559C6C39206B5
2024/04/10 18:40:08,AED685.00,1,B,GO_BABs,290C1E25CEE59C4B,7,3,452,2024-04-10,45392,0,290C1E25CEE59C4B
2024/04/10 18:40:08,AED685.00,1,B,GO_Loki714,322087B90928B7CB,7,0,452,2024-04-10,45392,0,7AEED7BA665E4D7A
2024/04/10 18:40:08,AED685.00,1,B,TOTALS,,7,4,1512,2024-04-10,45392,0,
2024/04/10 18:40:08,AED685.00,1,C,VIPxAniya,75A2561232645DE3,6,0,630,2024-04-10,45392,0,75A2561232645DE3
2024/04/10 18:40:08,AED685.00,1,C,neeeks,A3D48CEE6968286F,6,2,734,2024-04-10,45392,0,A3D48CEE6968286F
2024/04/10 18:40:08,AED685.00,1,C,🥲,AB9387B8FEBD0944,6,4,955,2024-04-10,45392,0,F803F24A69FF642F
2024/04/10 18:40:08,AED685.00,1,C,TOTALS,,6,6,2319,2024-04-10,45392,0,
2024/04/10 18:40:08,AED685.00,1,D,TTP.Chase,9070764BE8ABC182,5,2,667,2024-04-10,45392,0,9070764BE8ABC182
2024/04/10 18:40:08,AED685.00,1,D,portermac,CC668E1312F0EC6B,5,1,566,2024-04-10,45392,0,CC668E1312F0EC6B
2024/04/10 18:40:08,AED685.00,1,D,stuje1,18ADF7AEAC225CE6,5,0,155,2024-04-10,45392,0,18ADF7AEAC225CE6
2024/04/10 18:40:08,AED685.00,1,D,TOTALS,,5,3,1388,2024-04-10,45392,0,
2024/04/10 18:40:08,AED685.00,1,E,GO_DocButler,E40FBC5F7C9F0DEC,3,0,539,2024-04-10,45392,0,E40FBC5F7C9F0DEC
2024/04/10 18:40:08,AED685.00,1,E,AllTheBaconAndEGGz,E4CB0E373C7F2860,3,3,562,2024-04-10,45392,0,E4CB0E373C7F2860
2024/04/10 18:40:08,AED685.00,1,E,GO_SHARK,E15CAAD0003430E3,3,0,776,2024-04-10,45392,0,E15CAAD0003430E3
2024/04/10 18:40:08,AED685.00,1,E,TOTALS,,3,3,1877,2024-04-10,45392,0,
2024/04/10 18:40:08,AED685.00,1,F,vipxace,3C451C712FB045E0,2,2,1069,2024-04-10,45392,0,3C451C712FB045E0
2024/04/10 18:40:08,AED685.00,1,F,VIPxgiantbob321,31B5320BAEA09713,2,5,1347,2024-04-10,45392,0,31B5320BAEA09713
2024/04/10 18:40:08,AED685.00,1,F,TOTALS,,2,7,2416,2024-04-10,45392,0,
2024/04/10 18:40:08,AED685.00,1,G,GO_Robot,C63E7138083B98BC,4,4,893,2024-04-10,45392,0,C63E7138083B98BC
2024/04/10 18:40:08,AED685.00,1,G,TOTALS,,4,4,893,2024-04-10,45392,0,
2024/04/10 18:50:25,C963DF,2,A,VIPxNoah,743B2938B4AD04E4,1,5,947,2024-04-10,45392,0,35BF2EE8727E21DD
2024/04/10 18:50:25,C963DF,2,A,VIPxSami,7236D5DED53B1204,1,3,857,2024-04-10,45392,0,7236D5DED53B1204
2024/04/10 18:50:25,C963DF,2,A,VIPxGloxii <3,C12AACEAC9CE276,1,3,717,2024-04-10,45392,0,B2EB5AF7D9C8E673
2024/04/10 18:50:25,C963DF,2,A,TOTALS,,1,11,2521,2024-04-10,45392,0,
2024/04/10 18:50:25,C963DF,2,B,Ry.y,765E29220A77E744,4,0,522,2024-04-10,45392,0,765E29220A77E744
2024/04/10 18:50:25,C963DF,2,B,Magical_Beans,B7A7FD4C7B8309CB,4,2,808,2024-04-10,45392,0,42AAE36F6839385B
2024/04/10 18:50:25,C963DF,2,B,UWU,14E017AE65DFDD61,4,2,297,2024-04-10,45392,0,E9E44C258D99C389
2024/04/10 18:50:25,C963DF,2,B,TOTALS,,4,4,1627,2024-04-10,45392,0,
2024/04/10 18:50:25,C963DF,2,C,UnsaidRhombus.NB,6E2438B41FE274CA,5,0,243,2024-04-10,45392,0,6E2438B41FE274CA
2024/04/10 18:50:25,C963DF,2,C,Winner_54,492A78B22B55DDB3,5,2,654,2024-04-10,45392,0,492A78B22B55DDB3
2024/04/10 18:50:25,C963DF,2,C,TOTALS,,5,2,897,2024-04-10,45392,0,
2024/04/10 18:50:25,C963DF,2,D,Consesa,A964E942A84A9AF9,3,0,42,2024-04-10,45392,0,A964E942A84A9AF9
