ign,pfid,go_rating,pf_player_id
itsdaaannybetts,96C365ED219931A1,1235.0,1640266758438334881
Cosmic.Baddie,B3189703C55089F3,1233.0,3681858737826466291
Cosmic.Baddie,9D4419C593ED0F3,1233.0,-8515108855682772749
Godly,F3064D2628E40F3F,1430.0,8288396990512107327
Godly,9F978EFF55DF57F7,1430.0,2276445363967580151
VIPxPinkpwnage,2F339DB5B7EB236B,1409.0,-5822136489459637397
VIPxPinkpwnage,A4024C179571E5B9,1409.0,2594719999494055353
S.A.O._.CHAL0,1324F332F2AEE577,1478.0,-7843877250827098761
S.A.O._.CHAL0,A69C1CF885686847,1478.0,2782130523523803207
S.A.0._.KINGZ,A016F0FB2280C066,1478.0,2312300420107649126
SAO._.K1NGZ,87023E350F5230FB,1478.0,505034505830150395
xMuggy11,7AF9CABA5D89CBD1,916.0,-362035393244574767
xMuggy11,A6E60597362E1339,916.0,2802933965091902265
VIPxGloxi,C12AACEAC9CE276,1050.0,-8353426554182901130
VIPxGloxi,B2EB5AF7D9C8E673,1050.0,3669126341980644979
RBL_Ghosty,54127A904055A317,960.0,-3165332828114803945
RBL_Ghosty,B50A4AC40327843C,960.0,3821949439504254012
GO_Lester,BF7F7755642452B8,1323.0,4575506955067740856
GO_Lester,B6395EBFD2459486,1323.0,3907258329680155782
finatic,572A645BE13FA66,1430.0,-8830813100848186778
finatic,B714C7C93928CB51,1430.0,3969016838681578321
NRasta,B3202354D230DB72,1409.0,3683983342399708018
NRasta,C0E884AD920F2F3E,1409.0,4677134094038937406
A.K.M_Tethered,552AF391A38A520F,759.0,-3086386787769495025
A.K.M_Tethered,C214F3287CAF8942,759.0,4761698061253577026
IFF-USA-wickedrose,8991D90592AC1F62,1372.0,689570835923214178
IFF-USA-wickedrose,C42FB4D5BD5886D7,1372.0,4913344548582229719
VIPxSpray'N'Pray,D3BBD672D7E9E766,1257.0,6033651914529957734
VIPxSpray'N'Pray,C7C87A8A21B3B89F,1257.0,5172518905724516511
VIPxCreamy.VR,5E9D12A0C3C3A411,2081.0,-2405746144257530863
VIPxCreamy.VR,D27AA61FAA59DC11,2081.0,5943245313201003537
TTV.Creamy,358B61D2259774C7,2081.0,-5365086975880104761
VIPxCreamy,FD298106A0DFC78A,2081.0,9018881594254935946
VIPxCreamy,7F68578FE3FC751E,2081.0,-42687920943106786
K_A_N_Y_E,BFAC70B30B7C0225,1361.0,4588166034677826085
K_A_N_Y_E,DE8E5B9586688093,1361.0,6813483984021389459
Donald__Trump,49A3F84320606706,1361.0,-3917014283692513530
SL1CK_SK1LLZ,B13073C877C186B7,1504.0,3544460211580405431
SL1CK_SK1LLZ,E8D45C3F2DABDDA5,1504.0,7553763901426097573
SAO_Twizzy,642CCBCA8C68869B,1221.0,-2005003663287220581
SAO_Twizzy,E97B5685EFB2E730,1221.0,7600763929369962288
brrrr_1,1F38E2CA2D523F1,1144.0,-9082759701114575887
brrrr_1,E9E44C258D99C389,1144.0,7630307392845628297
VIPxMac12,83502A2CA46B340E,2078.0,238737151476053006
VIPxMac12,F4930C7B865CEA6C,2078.0,8400071454650853996
Barkley_RBL,A86B6CCCE9D79C2,1385.0,-8464877458840258110
Barkley_RBL,F4C12E96546AE7F9,1385.0,8413056802101061625
VIPxTAKE,AB9387B8FEBD0944,1151.0,3140002593824901444
VIPxTAKE,F803F24A69FF642F,1151.0,8648022110901330991
LilB3224PF,9AB15DC3593B0D2,940.0,-8526697433960042286
LilB3224PF,FA9A34346FC32D46,940.0,8834431018858655046
LILB2234PF,DB77F9CDBFC223CB,940.0,6591011241760793547
Rizzful_Reeces,4D8C1AF8DD48E58E,1105.0,-3635501143028079218
Rizzful_Reeces,FB978B6BBEF29C9F,1105.0,8905740083029777567
PinkForest,35BA664EE2D668FD,1121.0,-5351852718177228547
PinkForest,FFAB9B0248B5562,1121.0,-8071935215929698974
Chemimbalance,920D1B39AB3137B1,1054.0,1300725801879156657
Chemimbalance,B7461ECCDF5F0B2E,1054.0,3982904785725492014
parkered,B4FC6F8D134B4F9F,934.0,3818049235808112543
parkered,32D211C9F4BD9A71,934.0,-5561363030756976015
FRICKLESTHECLOWN,BEB90BC904455EF6,1543.0,4519656659030990582
FRICKLESTHECLOWN,1B8EC490E5DE6D97,1543.0,-7237631424526914153
SPONGE_BOB_SQUAREPANTS,62E0EB993A03E9A0,1352.0,-2098418383018792544
da goat,14E017AE65DFDD61,1144.0,-7719143723512111775
Barkley,971E1A0C2492767E,1385.0,1665797551629170302
THC_Crypto4x,6C43270C1F4D23DF,961.0,-1422250124300704801
THC_Crypto4x,B706FD2374D24171,961.0,3965134850671919473
GO_Loki,322087B90928B7CB,1087.0,-5611335906911275061
GO_Loki,7AEED7BA665E4D7A,1087.0,-365117324189086342
Mr.Pink,8A39144544E8888C,1652.0,736642301793175692
Mr.Pink,5EC727C47D31A8D7,1652.0,-2393900952056649513
Chino__0,2072A9F47383F728,1494.0,-6885254012920924376
Chino__0,DEBC974F6F52CCCC,1494.0,6826497502612737228
TTV/Fuze,546C5EEA935FB89C,1109.0,-3140030478596196196
TTV/Fuze,C56CB11A71F31C6A,1109.0,5002568013240802410
neeeks,6D37DEA99183079B,1073.0,-1353368343129421925
neeeks,A3D48CEE6968286F,1073.0,2581843441988675695
VIPxAniya,23C5EF9952C0A6B,1031.0,-9062263924133721493
VIPxAniya,75A2561232645DE3,1031.0,-746939952035242525
Kobe.22,E51E6F469416C492,952.0,7286383596054955154
Kobe.22,24C133B2C94E419B,952.0,-6574917138009669221
Breckie_Hill,5DCDA0340AA1FBFB,1430.0,-2464137275724661765
okkck07,C888F6C708031C80,1494.0,5226698702256807040
RBL_Goon_1,748FB3325934A315,1152.0,-824243177959152875
RBL_Goon_1,EE507E5DBB062096,1152.0,7948992283343724694
Solace.45,59A7AE9B0B4DC954,773.0,-2763047865435698860
Solace.45,EF699F5DAD20ECB,773.0,-8145153594835726645
WWW_CL139,3EC9DC46299D97AF,697.0,-4698982542280386641
WWW_CL139,A964E942A84A9AF9,697.0,2982765325726685945
Creamy.V.R,64DA1D8BA6DBCD96,2081.0,-1956218602501976682
PUTIN,29FE5D20EA9EE0EA,1144.0,-6197413641258606358
MrRager,91062BD8ADCBAE8,1874.0,-8570241524667991320
K1NGZ,D3770494E8B19C1A,1478.0,6014280864982211610
SIeepyJoeBiden,827BB5492C42434E,1432.0,178935936091046734
SIeepyJoeBiden,B0E52B0761329378,1432.0,3523269594182751096
colinthe5,764263C2E1E43C7C,1279.0,-701888903251739524
colinthe5,3343CDAF52D0E5E2,1279.0,-5529349764588444190
