ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM,confidence_factor_low,confidence_factor_high
GO_Lester,21.000,1323.000,1171.926,1171.926,1270.124,1.000,0.350
GO_Loki714,5.000,1118.000,747.606,1025.402,1087.134,0.250,0.083
GO_Maverick,23.000,1289.000,1537.890,1537.890,1537.890,1.000,0.383
GO_Robot,36.000,902.000,938.950,938.950,938.950,1.000,0.600
GO_SHARK,30.000,999.000,880.266,880.266,939.633,1.000,0.500
GO_STOOOBE,34.000,1048.000,924.982,924.982,978.290,1.000,0.567
GO_Sapphire2889,30.000,755.000,800.310,800.310,800.310,1.000,0.500
GO~SHoVVTiMeX,21.000,1255.000,1068.898,1068.898,1189.864,1.000,0.350
Gabe_Watts.NB,20.000,1767.000,1507.905,1507.905,1680.635,1.000,0.333
HYX_Wilbur.111678,5.000,0.000,844.009,844.009,844.009,1.000,1.000
Hk_Lukedv,5.000,957.000,999.850,967.712,967.712,0.250,0.083
HungryMayo,5.000,780.000,771.989,777.997,779.332,0.250,0.083
J3RKMIOV,5.000,1452.000,1679.387,1508.847,1508.847,0.250,0.083
JBro02,5.000,1330.000,1226.830,1304.207,1321.402,0.250,0.083
Jen.Jen09,5.000,708.000,756.237,720.059,720.059,0.250,0.083
Jester.thecl0wn,5.000,910.000,786.015,879.004,899.668,0.250,0.083
Kimberslay,5.000,983.000,725.381,918.595,961.532,0.250,0.083
Kobe.22,5.000,958.000,889.311,940.828,952.276,0.250,0.083
LILB2234PF,2.000,948.000,708.227,924.023,940.008,0.100,0.033
Leo_Bee,8.000,813.000,885.704,842.081,842.081,0.400,0.133
Logan,6.000,950.000,674.458,867.337,922.446,0.300,0.100
M.I.A_Steel,5.000,810.000,894.227,831.057,831.057,0.250,0.083
MISSION VR,10.000,1233.000,938.084,1085.542,1183.847,0.500,0.167
Magical_Beans,10.000,932.000,1180.401,1056.201,1056.201,0.500,0.167
Mitch_Man_7,5.000,919.000,743.075,875.019,904.340,0.250,0.083
