ign,pfid,mapfid,go_rating,rating30plus
lleading,67FB57BD377D0E0F,67FB57BD377D0E0F,1576,2208
TTP.Taino2Turnt,EF95736B10B148E9,EF95736B10B148E9,1573,2148
Xsinnister,A96F333C40D52EE0,A96F333C40D52EE0,1571,2169
ryze,BF7E8932206FCC70,BF7E8932206FCC70,1559,1833
That1VRFemboy,24D224D9FAFD69FE,24D224D9FAFD69FE,1558,2243
Red,614998799603A93B,614998799603A93B,1558,2056
Mind_Baker,8E3A93563F042BF9,8E3A93563F042BF9,1554,2089
Naastyy.NB,81DFD6B0F491418D,81DFD6B0F491418D,1551,1607
Mr_Demonic,86AED5FE3C8937BB,86AED5FE3C8937BB,1545,2162
FRICKLESTHECLOWN,BEB90BC904455EF6,1B8EC490E5DE6D97,1543,
fricklestheclown,1B8EC490E5DE6D97,1B8EC490E5DE6D97,1543,2089
EthanNotFound,96FC6E0032BB00D2,96FC6E0032BB00D2,1539,2025
mipo,C90D518B297682D8,C90D518B297682D8,1539,1936
GO_DrSmartAzz,B1937A74000CCAAB,B1937A74000CCAAB,1536,2150
VRazorBeast3.0,46311D6F5337B1FA,46311D6F5337B1FA,1536,2151
aka_flow,806BCA6B6A7CAA14,806BCA6B6A7CAA14,1534,1718
MrAwesomeJr5,1E3579F23EFEE367,1E3579F23EFEE367,1532,1629
Muffin66_SIN,B5B144F1BF9009A0,B5B144F1BF9009A0,1531,2157
RBL_Trouble1999,28682871968C1CA7,28682871968C1CA7,1530,1704
RBL_Trouble1999,CF811A81B0E4A1C5,28682871968C1CA7,1530,1125
IFF_FIN_Mazhmir,AC0995D9250B0FB6,AC0995D9250B0FB6,1530,2114
RamDown,FB90E2AEAE0984CC,FB90E2AEAE0984CC,1528,2270
@Omelette Du Fromage,75EA737A6F86B61D,75EA737A6F86B61D,1514,2031
DeadInside,BA795380211BFFBA,BA795380211BFFBA,1513,2043
ARESFalcon12321,39E69E2E02ED73B,39E69E2E02ED73B,1513,2048
SL1CK_SK1LLZ,B13073C877C186B7,E8D45C3F2DABDDA5,1504,
SL1CK_SK1LLZ,E8D45C3F2DABDDA5,E8D45C3F2DABDDA5,1504,2267
JLUDS,ED9B363C1EB5B307,ED9B363C1EB5B307,1491,2052
IFF-FR-LUDA76,EA8FCB67401F9086,EA8FCB67401F9086,1488,2036
Doculus_,1F497E8F237673B8,1F497E8F237673B8,1484,1822
WWCbirthpoggers,3A12FF22C9B5169A,3A12FF22C9B5169A,1483,2053
ARES_NONY_FR,29D27309F1C7A86B,29D27309F1C7A86B,1482,1961
CIC_SpeedingLeo,BA46CC30A25083F0,BA46CC30A25083F0,1479,1960
VRS_DR49ON,5881AF92AB042BBD,5881AF92AB042BBD,1479,2070
Spencerrr_,6A2BDF797F3B184,6A2BDF797F3B184,1468,1887
GO_Zoloto,826DF4BA35497FB,826DF4BA35497FB,1458,1953
Zoloto,309588828B51F1B,826DF4BA35497FB,1458,
DUNKEM_1,5F4F91D71E0F02AE,5F4F91D71E0F02AE,1456,1931
SAO Lowkey Bad,2D26132EC2DBC067,5F4F91D71E0F02AE,1456,
ItsNaaattyBetts,55DD88B97CB2CCEA,5359E9B30EA5E38B,1452,
NattyBetts,5359E9B30EA5E38B,5359E9B30EA5E38B,1452,1947
itsnattyyybeetts,AD1840D6462D0173,5359E9B30EA5E38B,1452,
J3RKMIOV,F9365C66E2F35FA0,F9365C66E2F35FA0,1452,1990
Yeahboiiiiii,529AAA3C915D1165,529AAA3C915D1165,1451,2166
Kalzau,F6459CED0C68B112,F6459CED0C68B112,1451,1964
[DC],EBA73BEF06EA588,EBA73BEF06EA588,1449,1907
SickM_JAC,F5374A9B21705C9E,F5374A9B21705C9E,1445,2046
dethraider255,8220F310000F5728,8220F310000F5728,1441,1990
G-Tricks,7BBB0EEBC1BD9C0B,7BBB0EEBC1BD9C0B,1433,1915
VRS_Clarity,A4F801C54210C836,A4F801C54210C836,1431,1934
ChimKinMan,E826BF9DE5F91AE1,E826BF9DE5F91AE1,1426,2008
x_Myst_x,F832968C3E51680A,F832968C3E51680A,1424,1980
xNeatway,6A062140A6AD14FC,6A062140A6AD14FC,1418,1885
MAX.I.CAN,ED2803447DB13D2,2E0C8F5E8A7957C4,1418,1974
