pfid,ign,go_rating
ED9B363C1EB5B307,JLUDS,1491
DA50B0E67A5BD610,mFs_Firefighter6,1489
EA8FCB67401F9086,XX-LUDA76-XX,1488
1F497E8F237673B8,Doculus_,1484
8220F310000F5728,GO_dethraider255,1484
29D27309F1C7A86B,.NonyFR_,1482
38376C5ACC6B8CD6,GIizzy,1479
5881AF92AB042BBD,VRS_DR49ON,1479
BA46CC30A25083F0,CIC_SpeedingLeo,1479
4BBEF2AEF541F270,VIPxMax_ThePenguin,1477.62
6A2BDF797F3B184,Spencerrr_,1468
71924F6FAA216B5C,SlickXl,1466
D27AA61FAA59DC11,TTV.CreamyVR,1466
EBA73BEF06EA588,[DC],1464
309588828B51F1B,Zoloto,1458
826DF4BA35497FB,GO_Zoloto,1458
2D26132EC2DBC067,maccheezy,1456
5F4F91D71E0F02AE,DUNKEM_1,1456
55DD88B97CB2CCEA,itsnaaattybetts,1452
AD1840D6462D0173,Heywood Jablowme,1452
F9365C66E2F35FA0,J3RKMIOV,1452
F6459CED0C68B112,Kalzau,1451
806BCA6B6A7CAA14,flowluvsxmas,1446.83
F5374A9B21705C9E,SickMini,1445
5142D9AF411BD13E,MasterSammy,1436.88
7BBB0EEBC1BD9C0B,G-Tricks,1433
C59F43026258ED07,SheDontLuvYou,1432.32
A4F801C54210C836,VRS_Clarity,1431
9F978EFF55DF57F7,SAO_S1MPLYG0DLY,1430.14
E826BF9DE5F91AE1,ChimKinMan,1426
F832968C3E51680A,x_Myst_x,1424
3271F39FE322B073,KILL.SH0T,1422
349A277D40EF2C82,BadBoys_Ricci,1422
ED2803447DB13D2,MAX.I.CAN,1418
6A062140A6AD14FC,xNeatway,1418
E97537D17F7E7AEE,TheRobberButton,1413
8C0BD625A13D8E99,Ryokan05,1412
109FA6A7D82916F2,f(x,y,z),1410
311168791A14ECF9,ChromosomeCrusader1,1409
358B61D2259774C7,VIP.CreamyVR,1408
461BAD472E598D2E,ARES_Nony_FR,1408
7F68578FE3FC751E,VIPxCreamy,1408
2F339DB5B7EB236B,VIPxPinkpwnage,1405
FD28C9827A03A9E5,SAO_MPBoss,1404
529AAA3C915D1165,Yeahboiiiiii,1402.87
960F0EBED149E99,Biohazard-_-,1402
7CDC495F93C542FB,CLL_YAN,1400
699E8F37AB1A2BEF,Light.Matches,1398
24D224D9FAFD69FE,UwUxFemVR,1397.69
2DD38FDBBD9D6515,BeefWrench.NB,1397
7A13E4606B857D81,she,1397
A33C7D930A1427FA,OMEGA_JadenB,1393
909090C283F4B8E9,justhes,1392
BA795380211BFFBA,DeadInside,1387.32
4EFBB9740874DF99,TTV_Winter,1386.39
2EE8D59ED61AA193,Slaughter_32,1386
80084C2D58405DB3,Kc_The_Master,1385
104E9E72D0DEB916,Chrome_3,1384
C0E884AD920F2F3E,Rasta,1384
E1BBC31FF17A6278,Anthony.7078,1383
B13073C877C186B7,SL1CK_SK1LLZ,1377.79
D7D8894C70EEAC4B,VOID,1376
9CCC91E3CDDA6902,Epicgamer2.0,1375
8991D90592AC1F62,WickedRose1,1372
743B2938B4AD04E4,VIPxNoah,1371.26
6D9B6161CAADB4EC,ketteDH,1371
AD479422979DEFC5,BADBOYS_ULTRA,1371
45F1555F591473D8,King_Jerry21,1369
46ED6C78EFD04D48,Tw_Baba_Yaga,1366
571EF546E519B48C,IGhostyy,1365
BBE5F77F77FCB18,ARM_PegLeg,1364
1E88F6E5B8591FFD,X_Deo_X,1362
49A3F84320606706,U_Died,1361.41
77672C414F852A3B,VIPxRyan2dayy,1361.2
1B8EC490E5DE6D97,fricklestheclown,1357.67
45E436061364985B,siktir git:),1354
55044E87C7BE34EB,blunt_,1354
EBC545C36FF486BA,TumbleWede,1354
42CBCDE0591D0364,tek9jr,1353
608ED67DD8C0093F,xSkit,1353
185D241F4FE32684,Winner54,1352
492A78B22B55DDB3,Winner_54,1352
4E7E8100E9A77D12,quatrain,1352
EBCCB1D15DDF607C,AydenE22,1352
FB4EBF13DB0233EF,really,bad,at,math,1349
784610928B0C11A3,PK3101,1347
287378888600AE3C,NickVG_076,1346
C32DB9875E7F6B88,CaptainComposerHat,1343
6B9BE3DDEBA1FBA6,Galaxy,1339
7D6946D89556112,kek_NIKLAS,1337
194D69AAC11DD611,snackmonsta,1334
3343CDAF52D0E5E2,colinthe5,1332
2AC8E3B55467A64B,JBro02,1330
3601D2E69BCD9A8C,SEER3,1329.68
C82CEA31F887E31F,_Tardigrada_,1329
294B2A1C15314512,CIC_Snake,1328
B147EA61C519D41A,i_vibes,1327
BF7F7755642452B8,GO_Lester,1323
B81760E80763FEC7,GO_GhostXRP,1320
269E6F9A95F496FF,LTS-Saint_Seiji,1317
7FEC15FA2B73A9AA,TTP_Destroyer2p0,1315
34D77753E6F1C47F,Danderson,1313
781A8E2500BEF951,imdarealmuffinman,1311
AC7C9E2B1E7EF54A,BundeezyTTV,1308
D14BC39D139C1BA4,AvavaKevavava,1308
2FE12663EF7B6471,JerryTrucksALot_SIN,1307
90178304BC9D9DE8,Designer_Tim,1307
C0AC5F873E351276,1DollarBaguette,1307
C7B6D37A267B7F1D,WWW_Kaya_Quest,1306
D84767B9532EFA98,SLAVA_UKRAINE,1306
907D369C20EA1737,DocYamar,1304
DADD7CE51F5AE9A0,Xav_Qc,1304
F4930C7B865CEA6C,VIPxMac11,1303.35
817CEE0EF4934779,Dhooft,1303
D06E54F107474D27,ALIENISTA_ITABOYZ,1303
DA3E78DC21ADFD4E,ObiWanSoto,1300
3A6BC4E87CCE7248,CTRL.ian0129,1299
B336AF0C48A8377F,menino_,1299
14570E9B30B7CBE3,tinywatermelon,1298.79
5359E9B30EA5E38B,NattyBetts,1298.58
FF804859A3083667,Robiniscool,1294
247DA21026E05643,rosezy,1293
C88B28FFE600C77E,GO_Maverick,1288.63
98953B48289646CA,shadowcat.8,1285
31A0F9CC0262311E,Winner54.NB,1284.69
6A799A240B36438A,Debo7Debo,1284
F36D4945044DB781,Beto_BR,1284
B4EF290A1DF8BB39,Papa_penguin,1281
DEBC974F6F52CCCC,okkck,1273.6
C7C87A8A21B3B89F,VIPxSpray_N_Pray,1272
DC65E5257B779732,ChrisTDB,1272
39F83757B15488FB,~PressStart.TTP,1270
817B1393203619A0,MusicsAnts,1270
7AEDC8B0B84348FE,T3RMINATOR,1269
7CF2C4AFB225F9E6,jontonsoup,1269
EB24CC3F5FCAF103,Dragon3011,1268.42
D58728195CFFF860,yofam,1268
3E96E157D3B6B46A,Happy Cows!!,1264
75A2188B7745A49A,Amdguru,1264
87023E350F5230FB,SAO._.K1NGZ,1262
F46DF64BE9A7B98E,Yard00,1261
14D53EE28807589A,OMEGA_MEDRANO_PPL,1260
4660DDBD6E92418B,The_Real_DirtyDan,1259
BCCAA5B2109349F3,RoeTaKa,1259
E89A06A14CD3E9D6,IFF_FR_Youdeadno,1259
DA91031F823FE522,Pinbit_Zeatic,1257
3570FF8FBC6530D4,GO~SHoVVTiMeX,1255.25
940252532EE50EA0,Prime_LT,1254
B93111DA1620232C,mr_wafflesvr,1251.83
328C2160593A54E6,Jrad446,1251
A6AE87FB028ED85,Bruh.exe,1250
C663EE53C3643B3D,LeumaS55,1250
432CC8A9740150B2,SlimJimGordon_NCC,1249
71E9AAE898E28F27,PANDUSHH,1249
9DAB7E8C127C281,ratiba_quebec,1248
88372E2E09BC9321,Willarino,1245
28E3A8A253FE2B29,FYA_Metaisbetta,1244
7D48F48BBD5B4A64,happypapaya,1242
9ADB4D701CF6DD92,GasSnake420,1242
8F8C4EA3C27481F2,idontgiveatruck,1241
296F759D3B7B66BD,GO_BramRianne1,1240.74
8288A1E51EE222F9,ChiliDilly,1240
1B2EA40D238C6544,IFF-FR-Lamiseb,1239
6565D154114FD6A7,PossiblyAlex,1239
B47B6C15654505EA,Winter,1236
B8FABF9ACAECD854,PigG13,1236
E79FF422B3E2E21B,CEA_Soul,1236
33C2F39DBC018AB,dannyjones420,1235
96C365ED219931A1,itz_Danimal,1235
4805559239AC223,BadBoys_tiGGu,1233
376B6BEA0CE15070,TTP_Matteast,1233
B3189703C55089F3,COSMIC.BADDIE,1233
EE916CC7A144C0AA,LouisTiKo_HTTA,1231
606AB80515D16407,Lilpus,1230
F041A67B6DEB12D5,chrisesmann,1230
579321B097A7ADFC,Stason17,1229
1E4FD786841EDCC,VRS_NovaSphere,1228
10A06FFEC55F5696,WWW~Kaya,1227
C64D8BA9CD9D5676,_Tatted_,1227
62D75D8FC9785191,MVP_Provolown,1226.22
3A1289A82AE13A7B,Archer_1,1225
E6A4C4C290F7A3BE,HUCKLEBERRY.NB,1224.57
DE7C90E59E150827,Not_Juice,1224
78909A1AA9CB470D,John_Peach,1223
759206D82CF0999,Smiggy100,1222
9CF7726B4A4A990B,IGhostyy,1221.04
B0292284FC06FCDA,Zerkiller,1221
4B656D3B3DEAD4FC,NPS_JROD,1220
8D5D27357DE702DC,Madison32,1220
D3C6F3108C4B3D0B,GoodDenAMug,1220
2AE0B4D6C3D8A4FA,009db,1219.17
416D72DCCD85AF57,TTP.Atlas,1219
D01A114CE632092B,IFF-FR-Trader87,1218
F5C33DE701D945B9,NAA-GridTheKing,1218
93C72A01F4A611D2,VIPxKEV,1217
92BF8EFD62AF1B4D,Sionic097,1217
7FBE610C56B5FE41,Peterpanflex,1216
EC31CDD3C3C9DDEF,TTV.Cryptic,1215
F0D1582BC6FBD3FE,DizzzyVR,1213
2ADAD9AFDAD1A90,Magoobis23,1212
F36F06887E6693F0,shreddymac.nb,1210
FA0EE43A46B182A1,SKS_Sandman_Galaxy,1209.12
82AA92C38ED2B1EB,CosmicVayron,1208
5BBED31CCDBCFB95,Dokdo_Donghae,1205
6EA47A10DCAE1B01,ITABOYZ_smich1989,1205
87365C31A02576D6,TTP.SweatyLefty,1205
13A22D76C73DFB46,ShortBusRejectz,1204
F1FF2759B239A6E1,AJ108_WWW,1204
9C270C001CB2689B,1MadTheSlaYer,1202
F4D781A7D4FC34ED,Oozeygoose,1202
3A1D6F495A45F2B5,Xivic,1201
75FFEDC8589F7BBE,VRS-Agent_Suf,1201
85102B8772709862,LeumaS5,1201
53D30921DAA8FFBC,Lone_Viper_Samurai,1200
BFAC70B30B7C0225,K_A_N_Y_E,1200
DE8E5B9586688093,x.QU1X.x,1200
2CF29F8FDB506A32,APEX-BionicGiraffe30,1199
6A04E4CCE9361848,VIPxSteel,1199
BA5EFC51E9230A15,EverestDreams,1199
31FA0F3814786412,Bsharp01,1198
504F36DD0F35CAD5,dannov,1198
D71D4CAEB82FE43B,A.K.M_PhoenixABGFair,1198
A04EA3A2DD18041E,itschuta,1197
D4C1F5E4267A2F0B,IFF-ESP-JASPER,1195
55EDC5EB4729D6EA,DSOW_SlickByDesign,1194
9B0B899BA2F6AA37,Ironman,1193
96A161429C7240D8,Captain_Ukraine,1191
FFAB9B0248B5562,FlashBolo,1190.04
2C78ACC5477A723F,Baker.357,1190
DF1833C1D6158A34,KIN_RICEM0NSTA,1190
F8B6FEC47632A40C,DookieSweats.NB,1190
86B7A4B265CBE515,Danny5247,1189
15F726D7BB9140F8,RBL_Giod62890,1188
67AA682BB2819515,ttp_vister,1188
EAE5B45CA31E2754,Fuzing,1187.24
8F2658422F3641AD,Peeazy,1187
98DD7F7B94D021CB,JAC_MATHEW.MAZZEI,1187
36DDCB996FBC4113,GBN_AIRASSAULT,1186
83448192E4569055,CTRL.Lyonpack22,1186
39210B561419A905,MusterCherf117,1185
642CCBCA8C68869B,Twizz.y,1185
69394977F3AE6D2C,VRS_Soonski,1185
10AF9AAC4396CFDA,Zlink314,1184
B1144ED1C41B0DDA,OMEGA_NiteMare19,1184
CF3D67AACEC54A45,Kim_Kardashian,1184
689AD153A0924891,RBL_RYXN,1183
891E94E99CC61956,KASPER.VR,1182
F1F43760B765B67E,DRIPTOXIC,1182
41D8C6E14DDC2491,WWW_Deathshot,1181
5DCDA0340AA1FBFB,zyrooooooo,1181
30A9C6CF21012E6C,ilecim,1180
DB0ABE517EBBE9B,Likebuttaa,1179
55E3C009BF3D21DB,DFA_ChrisP,1178
C42FB4D5BD5886D7,WickedRose,1177.91
5B67596B2F901005,BADBOYS_FLO,1177
706C06B1CC71AEC3,Freia00,1177
75CF85CACF282EC5,xKaleb,1177
35BF2EE8727E21DD,VIPxNoah,1176
40B319A793121161,ONE_KAKAK_KR,1175
413CF2A72CEC387D,The_Blasian,1174
BBF84595527A8006,xLucidd,1174
F8F36663ED828B2D,OcuDyn_SIN,1174
B3D419C638655AC,Benji007,1173
4A58194C9CB85085,AK_Fr,1173
667C63877302E60F,Dormaui,1172
AA452C8A89D2F71E,ARES_MAM,1172
2B9E1116FB50321F,DAWN_Monraz,1170
572A645BE13FA66,f29x,1169
72D48D56A8BE1090,Free_Baguette,1169
DA93E929FD99A5C2,ENO_Derons,1168
86EA2A4572B85C3C,VRS_DEMOLITION,1166
479EA57AAF1F3F0,HTTA_Fizz85,1165
6EA33B0D13C69E1F,PARZIVAL_GFY,1165
8DFBDFAFBD392ECC,Pokekette_Tajin_ARES,1164
4F0857486FA8B8B1,BNastyVR,1163
C3456304857986CE,The_Crafter,1162
11B4742922143B9D,stumpynub,1161
3EB92D84D8C306BF,VRS_Claxicon.TTV,1161
77F6FBCCDC0A6BF6,ChngeMyMind,1160
9ADAAF18A385D7FA,Jrodkid,1160
C385CEC0BDEBE2E0,VRS_Luigi0007,1160
679AB0BD38C8899E,IFF-UK-Are_Soul,1159
938F94403C08783D,POPULATION.WON,1158
B2B20B9C47D11CB2,BOGA3TUR,1158
D3BBD672D7E9E766,VIPxSpray,1156.97
F9CBA5793008AA13,Sp1n13,1156.14
7869E518D1E868FC,VIPxTheFlipSide,1156
9CA6BCE37488925B,braxton.tso.5,1156
4C6EBDE4E2E6A1EE,Kyle432,1155
4F205584916BEE3B,VRS_PigG13,1155
9B4FFEB496D1EFCD,usadapekora,1155
316C1E634C61CA34,Scary_TETSUMA_TNT,1154
76648E0A7277F4D5,capao_L.L.L,1154
E8F11F66FC10F12A,G̶E̴N̴E̴S̷I̵S̴,1154
8BFF19B93354B42,slofster,1153
CE3A35A29A42D9A,Nate-TheGreat,1153
CDDA8E70CFBFA34F,jashangill,1152
E9E44C258D99C389,AOC_dagoat69,1152
444725A94F23EA4C,IFF_FR_BloodRain,1151
AB9387B8FEBD0944,e dating = bad,1151
4E52301B2E13E7AF,TreeTrunkTravis,1150.65
43F98A6A6D537697,Jonas,1149
92C4946CFDD499E7,morecowbell520,1148
2696D8908CC3C8DC,THC_Cookie,1147
DF7BA4237AC32131,Boogeyman8891,1146
2F8C8755E29B22CA,WillMM,1144.43
1F38E2CA2D523F1,brrrr_1,1144
49EB868DA7602266,AOC_Klegend8,1144
600871AEA5A00745,Kerby_VR,1144
7A2D4B83E6879EDB,Harry1617,1144
BFE591E87F14BDC1,BK23XXIII,1144
39FC372721AE0FDC,S.A.O PeterpanFLEX,1142.25
BBEE03930BD2C43B,LilLitLandon,1142
CB4AF62D83CBF1B,korzn,1141
E5949569CD2E4B4E,S.A.O_Matthew_08,1141
10F6A95319615550,Crispy_morning,1138
3C227BF40A11D6CF,DustyStone,1138
C32CD06AECD095F0,JSR42,1138
DE028A373F969D47,Kiku_Zeatic,1138
4017450C529BB778,POP_ChrisP,1137
90AA70BC0CC2D4FA,mfS_sk888smooth,1137
C971AC213B4AB5FC,TrashBoat_VR,1137
FCCC7D76445900B1,I_AM_YOUNGHUN_KOR,1137
51A8542B437B9171,clev,1135
6C4F16D88F1BE063,GO_Acid_ISR,1135
8258728F2C5D1C4B,ytmikkelvr,1133
DBA24A8AD8CE8238,dadaodadao,1133
1CABA4F7BC12810B,Trazy.Awp,1132
1F3C8B55C2A997AE,M.I.A_Isaac_29,1132
472D47AC50081212,x1disobedient1x,1131
98FEC08D17CE9C86,xDarknezzzz,1131
25CDC91DA3E05C9C,Ghost__Face,1130
ADFE359E6F897D2A,benbobh,1130
26AC123E53B767EA,RIP_VR,1129
4D70783E7B20E7A5,ITAGIRLZ_PANDUSHH,1129
2EB41E101ECBD7AE,Slickz_,1128
6F972C5D44EA5BDC,PULSExAlmighty,1128
D44574679FDB392D,FlapJackPack,1127
E5F563B053B170EC,VIPxSparklingrabbit.2.0,1126.7
19CC0D65BCBB75E1,Chatman,1124
ECAB84C5CCB64419,NoSouP4u_,1124
85DA29B1C4B078F,CompleteGuarantee,1123
806CBF6937E3C2B4,Lejwaani.swe.NB,1123
32A2DF9587FBE76C,SaitamaX.D,1122
404BC1167EFE6431,snitselz,1122
ADF7427EC62CD8CA,IFF_NL_SilvrLining23,1121.1
A0D013686B73B9EF,ASAP_R0CKY,1121
4985ED3137DCA151,IFF.ESP.Juande92TW,1120
4F6933069E63CA8A,Eviljester799_JAC,1120
AD884235F64EFB33,Behzurk,1119
B6BC57F1CD624C82,SWA_LilJug,1119
76AD45CA84DCDD44,Chrissiii,1118
7AEED7BA665E4D7A,GO_Loki,1117.58
DE0F069F6E55C5C1,CIC_Clint25,1117
2971B2C4F1EEBF51,Balpeau,1116
2EAA62B223463ED7,Pattiä,1116
5210BC0B3AD63CB7,P.A.I.N,1116
77FB987259A65F56,Dab_Doctor,1116
6B022813A08C37E,JAMES897,1115
2050B38177AC30B2,FriedAg2,1115
B3202354D230DB72,NRasta,1114.26
17C81FDBCCC905C6,SAH1b,1114.06
60D200E7D4CCEE6,VRS_BOOST,1114
F97DB4814565BB5,takuya,1114
85CAB3018DB07C88,Saga,1114
2EA21D38C6441012,CTRL.GreySniper12,1113
31B5320BAEA09713,VIPxgiantbob321,1113
3B4BA5ED5C54F19C,Malibu_1984,1113
73371D9B4E432918,Hello,1112
D5542F47DD53DDF0,BruceBruce.NB,1112
F91BB99ED8C33544,TTP.TheFur,1112
1565A704C6E1765F,dheinz,1110
267A0E382663A0AE,Jaxon_hymel,1110
5FED9C5A66FD5828,VRS_Chocolate_Wings,1110
A17ECD3B707C3CBD,VOLXX,1110
2B31F9FB0F0D47FC,ARES_DoKkO,1109
56FBA6B66B29FF50,michael_com,1109
C0CC9BF2009A9CCE,VRS_SnickleFritzA,1109
9D4419C593ED0F3,MISSION VR,1108.87
41B7A0F2D963773,custard_creams,1107
90A6631DB024FEFA,Holdox_Norway,1107
137D1FA8480C64AA,Inz29_NCC,1106
A0AA5F11CF97A82F,Definitely_Not_Juice,1106
F11623D48D908434,SenBug_NCC,1106
937C03439FCE41AA,SgtFuzz48,1105
FB978B6BBEF29C9F,Cbrad19,1105
A241467829682FF9,dannov,1104
D495B5AC55F08B60,VRS_Breezy,1104
5500F4F3A9AF767B,ELITE_IvanRT153,1103
F6B46E52BD7E475C,Noob.vr,1103
C56CB11A71F31C6A,IFuze,1102.34
B0DE3B1F96BBED66,Mybikegotstolen13yearsago,1102
B820636D218CB73F,TTP.Muto76e,1102
2EEDC894BA480458,BadBoys_MO,1101
B1955C5AD2B3FCF,Jim_Austin,1100
3ED4E123CB1BC5C4,jackyogirl,1100
D768C00CC25D72C2,ARES_Arsonist,1099
3F9105D0C2699E1C,831playboy,1098
5C7D412D447664A5,ZazieTheBeast,1098
9F43DAE62075F6F8,CAVAAA,1098
B407A5F4C358D5D7,APEX-JoeyZ23,1097.68
5C412502BAB0BCE1,Casemir,1097
E2662C5E6A65B8C3,Scary_Kozmuff,1097
9EB9FD69E219B6B6,aredk1ng,1095
8BAFC4BBD4D77AA5,DABOUTmoto,1094
D4CC2108E41CC504,VRS_DeathTheKid6,1094
F82889D38304878C,Yazgoth,1094
39B5F5E7D38BD084,px_guason2k,1093
1324F332F2AEE577,S.A.O._.CHAL0,1092
73DAFC2EC4D73D63,FMC_MandrewManderson,1092
D6033EFA21E9FF2C,OmegaHavox_SIN,1092
DF4D2AA48663CFA7,RBL_Funsun1,1091.66
23E66F075A1F9D0E,Noob,1091
88A6B5CED4D2100C,mmkay40,1091
D015057EF1C9A7B7,FlipIt,1091
3E92BD2D2CDEA2A,BOMBATOMIK_SIN,1090
1A3C16DEE2078B67,Elephant_ghost,1089
37680BF7CF6363A0,1SS.KyleAmes12,1089
F920D3102DDACBC5,PsYcho_Dor_isr,1089
B714C7C93928CB51,breckie,1088.24
CB027B019FDF3863,UnFrancais,1088
4B9053F972D61985,The_Venom_SIN,1087
E5919BE861AAA5B1,AOE_DarkKnight,1087
115A704627E964A2,Tlambo16,1086
646C711C9E8CCA8E,TTP.FairArtifact,1086
2C77122D84E6FBD,IFF-FR-Mowrice,1085
1BC3E2E7AA443FBA,PPL-Z.A.I.D.D.E.N,1085
1FE1674B0EA9BFC3,Bendoudou,1085
B4623F194900F0BF,TW_Amios,1085
13E63D7F87632869,AURELIUS_LIVE,1082.54
DD85186511695AC4,NaterPotater,1082
5EBD02565FF07268,SAO_ALWAYSDOWN,1081.5
A3D48CEE6968286F,neeeks,1081.3
25CA1AC7A1B94C6,lozerluvsyou,1081
D4DE0F1B8CCDF4B2,UndyingOne,1081
F7977E3D2AB55841,Syne-,1081
FCB768E5B044BC89,Mecc,1081
3B51CB7B0148267E,Pax_Predathor,1079
9F30EB1FB2D3DB12,smokDAZ_SIN,1079
F951EF813DB679B,CIC_Mr.Kadono,1078
B985D870EEC737A,WanderingGenji,1077
F27E8256FA0A2096,LlamaGod24,1077
FE9ED4312BEE1856,ferzkape,1077
41BBD50C7746158A,Beakerman007,1076
B864335427BF31DE,APEX_BOBO,1076
F5766E156714B883,KattenMusen10tusen,1076
6F91E2ED902C438,M1__X4C,1075
915829915E29ECE,ZeroCooL6,1075
46BF9FF42169A610,Conman02,1075
D7AF76EF487ADD44,Denying,1075
F477E7AEF02740C9,DisruptingVisuals,1075
F385C11A1768B15A,idunnotim,1074
51DE354FF3E9EACA,CremePie_SIN,1073
AB9C699598EE2442,g0rd0,1073
C8964D1431F3283,God_luck2u,1072
F60FC18D3DE40E85,PlatosCaveVR,1071.97
E20E834338C4AE4B,Charlie.Babcock.C.S.,1071
16DABA1107FEF320,PipeDoc.NB,1069.06
DE5C586C27A456E3,bev.iin,1069
E829F81F36E64B45,Gods_Judgment,1068
FE17543EF5B6B4F1,hotmessmom,1068
29C6BEB551885430,Scary_TANAKATARO,1067
6092B7F4BB0EDE22,vrcheddar,1067
6FF5894915789C17,Chacha,1067
9E08D80BCC8654E4,TR6391,1065
AEBD51724DA2F950,-WOLFMAN-®_ITABOYZ,1064
51BA5933BB016AC3,IFF_UK_Gomer_Pyle,1063
DC195B48542FD9B2,Vantage.VR,1063
2BC7A1AB4561865,Mr.Xtwinkler,1062.43
5DD18E14858CE803,HarryCotter_PHA,1062
5FD5C9F4F5A44158,IFF_FR_GUR,1062
B7461ECCDF5F0B2E,VRS_Chemimbalance227,1062
119C54240481B2F9,ENO_VonFrizzly,1061
796004D8AA316096,IFF-FR-Octavior,1061
550FEF229F7AFF1B,Bl1STER,1060
D2A425FE9116F3F3,Ballo,1059.94
A016F0FB2280C066,S.A.0._.KINGZ,1059.32
A69C1CF885686847,S.A.O._.K1NGZ,1058.28
B0E52B0761329378,SleepyJoeBiden,1058
E9A8212E43ABC5C3,Lilbrains,1058
F3064D2628E40F3F,Godly,1058
1189B518FF6E38C3,Dreamteam89,1057
DECE5E4CE6396B2E,GO_IRONKNUCKLEZ,1057
3F0C8980BD7F7547,mostlyghostly899,1056
24EEDA735E4BAAF4,HMONG_SIN,1055
69EBD8451A2A3D1E,III7Death,1055
D354BE72D799A175,Douhan D. SVEA,1055
F04CA0C471018E3C,Chillixed,1055
A63A1F5937E35F36,Ramp4g3,1054.24
A8B819718C493985,BFF_Rueebli,1054
9E408095823E9529,Mrs.Gunner,1053.31
657DF52B40AC015A,Kfreestone,1053
B1FE8E26A6A230B5,Nuns7,1053
DB32BA71CC299BC8,Rafeal-,1053
1231408FDE2AEBC7,jewishguy18,1052
3E29D7A9EE806988,S.A.O_Liam.the.Great,1052
5799B0444E24ED70,SAO_Vraptorr,1052
6F393499D2076796,VRS_DeeeeezBoyz,1052
DEF751C9760F6742,ARM_Bubba.TTV,1052
F803F24A69FF642F,VIPxTakeVan,1051.34
5068E83A78750B82,dannynolife,1051
5F7F6073C0A2CDAA,Jonah_TCH,1051
F9E4043F1282460C,Butterylung,1051
7CE54A275A808695,LORIN_VR,1050
950318427E14378F,NND_Trentisonfire,1050
E28B57F7CFF59729,900s,1050
7F9A9FD67AF39CBC,QuaTarious_2148,1049
121559C6C39206B5,GO_STOOOBE,1048.23
520B18E988A8B26A,OMEGA_Baddie,1048
8DC6051B1879E5CA,isabell. <3,1048
89E68609E0F73B2F,SgtPJwinkels,1047.29
EC1980BC5EB9D302,SV_Ahspen-SWE®,1047
9072EDA619587668,AOC_Kvillers_oculus,1046
A4017D0C912BD425,IFF-UK-JOKERR_VR,1046
C40D79EE9AF5A8D1,DC_OMG,1046
25A81A2C0D037295,TRO_Cammie,1045.12
B138D05DFB972B65,AieKillYou,1045
FBA7E13DE26FA809,sotiros,1045
227F252D93519834,TTP.Jit2Lit,1044
